Frequency	Gain
100.00000	 0.00183
100.00000	 0.00198
100.00000	 0.00158
100.00000	 0.00159
100.00000	 0.00183
100.00000	 0.00188
100.00000	 0.00162
100.00000	 0.00167
100.00000	 0.00170
100.00000	 0.00266
100.00000	 0.00157
100.00000	 0.00200
100.00000	 0.00241
100.00000	 0.00178
100.00000	 0.00181
100.00000	 0.00189
